team,fci,year,hs_hockey
Anaheim Ducks,212.28,2002,0
Anaheim Ducks,228.51,2003,0
Anaheim Ducks,210.77,2006,0
Anaheim Ducks,260.1,2007,0
Anaheim Ducks,274.5,2008,0
Anaheim Ducks,284.76,2010,0
Anaheim Ducks,238.76,2011,0
Anaheim Ducks,284.96,2013,0
Anaheim Ducks,288.88,2014,0
Arizona Coyotes,214.28,2002,0
Arizona Coyotes,214.28,2003,0
Arizona Coyotes,181.62,2006,0
Arizona Coyotes,231.75,2007,0
Arizona Coyotes,221.8,2008,0
Arizona Coyotes,228.61,2010,0
Arizona Coyotes,228.61,2011,0
Arizona Coyotes,281.32,2013,0
Arizona Coyotes,310.71,2014,0
Atlanta Thrashers,253.51,2002,0
Atlanta Thrashers,236.97,2003,0
Atlanta Thrashers,266.64,2006,0
Atlanta Thrashers,234.44,2007,0
Atlanta Thrashers,262.48,2008,0
Atlanta Thrashers,262.88,2010,0
Atlanta Thrashers,NA,2011,0
Atlanta Thrashers,NA,2013,0
Atlanta Thrashers,NA,2014,0
Boston Bruins,293.49,2002,1
Boston Bruins,304.39,2003,1
Boston Bruins,327.77,2006,1
Boston Bruins,327.77,2007,1
Boston Bruins,352.6,2008,1
Boston Bruins,336.27,2010,1
Boston Bruins,352.26,2011,1
Boston Bruins,444.13,2013,1
Boston Bruins,509.8,2014,1
Buffalo Sabres,222.84,2002,1
Buffalo Sabres,208.83,2003,1
Buffalo Sabres,187.29,2006,1
Buffalo Sabres,197.25,2007,1
Buffalo Sabres,222.72,2008,1
Buffalo Sabres,228.72,2010,1
Buffalo Sabres,231,2011,1
Buffalo Sabres,293.76,2013,1
Buffalo Sabres,290.9,2014,1
Calgary Flames,178.87,2002,1
Calgary Flames,204.98,2003,1
Calgary Flames,282.6,2006,1
Calgary Flames,344.56,2007,1
Calgary Flames,312.44,2008,1
Calgary Flames,366.29,2010,1
Calgary Flames,374.51,2011,1
Calgary Flames,366.85,2013,1
Calgary Flames,352.12,2014,1
Carolina Hurricanes,193.06,2002,0
Carolina Hurricanes,193.06,2003,0
Carolina Hurricanes,217.62,2006,0
Carolina Hurricanes,205.57,2007,0
Carolina Hurricanes,219.52,2008,0
Carolina Hurricanes,251.83,2010,0
Carolina Hurricanes,251.83,2011,0
Carolina Hurricanes,303.63,2013,0
Carolina Hurricanes,341.17,2014,0
Chicago Blackhawks,276.28,2002,0
Chicago Blackhawks,286,2003,0
Chicago Blackhawks,225.52,2006,0
Chicago Blackhawks,262.48,2007,0
Chicago Blackhawks,312.38,2008,0
Chicago Blackhawks,350.58,2010,0
Chicago Blackhawks,367.38,2011,0
Chicago Blackhawks,437.8,2013,0
Chicago Blackhawks,463.2,2014,0
Colorado Avalanche,236.13,2002,1
Colorado Avalanche,242.24,2003,1
Colorado Avalanche,235.91,2006,1
Colorado Avalanche,240.19,2007,1
Colorado Avalanche,242.96,2008,1
Colorado Avalanche,242.96,2010,1
Colorado Avalanche,242.96,2011,1
Colorado Avalanche,266.99,2013,1
Colorado Avalanche,295.64,2014,1
Columbus Blue Jackets,255.58,2002,1
Columbus Blue Jackets,247.07,2003,1
Columbus Blue Jackets,243.31,2006,1
Columbus Blue Jackets,250.12,2007,1
Columbus Blue Jackets,278.66,2008,1
Columbus Blue Jackets,269.16,2010,1
Columbus Blue Jackets,278.31,2011,1
Columbus Blue Jackets,281.24,2013,1
Columbus Blue Jackets,288.62,2014,1
Dallas Stars,239.43,2002,0
Dallas Stars,234.33,2003,0
Dallas Stars,232.41,2006,0
Dallas Stars,234.39,2007,0
Dallas Stars,244.18,2008,0
Dallas Stars,222.68,2010,0
Dallas Stars,223.78,2011,0
Dallas Stars,263.11,2013,0
Dallas Stars,263.11,2014,0
Detroit Red Wings,303.88,2002,1
Detroit Red Wings,318.44,2003,1
Detroit Red Wings,261.51,2006,1
Detroit Red Wings,251.03,2007,1
Detroit Red Wings,279.4,2008,1
Detroit Red Wings,299.92,2010,1
Detroit Red Wings,306.12,2011,1
Detroit Red Wings,365.86,2013,1
Detroit Red Wings,307.54,2014,1
Edmonton Oilers,176.52,2002,1
Edmonton Oilers,217.54,2003,1
Edmonton Oilers,283.65,2006,1
Edmonton Oilers,331.95,2007,1
Edmonton Oilers,294.61,2008,1
Edmonton Oilers,346.46,2010,1
Edmonton Oilers,369.48,2011,1
Edmonton Oilers,389.64,2013,1
Edmonton Oilers,393.75,2014,1
Florida Panthers,202.82,2002,0
Florida Panthers,217.05,2003,0
Florida Panthers,271.12,2006,0
Florida Panthers,302.58,2007,0
Florida Panthers,309.44,2008,0
Florida Panthers,304.4,2010,0
Florida Panthers,316.58,2011,0
Florida Panthers,285.42,2013,0
Florida Panthers,255.55,2014,0
Los Angeles Kings,280,2002,0
Los Angeles Kings,274,2003,0
Los Angeles Kings,271.42,2006,0
Los Angeles Kings,275.42,2007,0
Los Angeles Kings,281.31,2008,0
Los Angeles Kings,297.22,2010,0
Los Angeles Kings,304.66,2011,0
Los Angeles Kings,382,2013,0
Los Angeles Kings,384.99,2014,0
Minnesota Wild,248.34,2002,1
Minnesota Wild,262.89,2003,1
Minnesota Wild,293.98,2006,1
Minnesota Wild,322.46,2007,1
Minnesota Wild,338.12,2008,1
Minnesota Wild,346.01,2010,1
Minnesota Wild,346.01,2011,1
Minnesota Wild,376.55,2013,1
Minnesota Wild,383.25,2014,1
Montreal Canadiens,192.81,2002,1
Montreal Canadiens,221.1,2003,1
Montreal Canadiens,332.27,2006,1
Montreal Canadiens,388.24,2007,1
Montreal Canadiens,361.25,2008,1
Montreal Canadiens,474.44,2010,1
Montreal Canadiens,486.28,2011,1
Montreal Canadiens,431.34,2013,1
Montreal Canadiens,410.04,2014,1
Nashville Predators,238.61,2002,0
Nashville Predators,243.47,2003,0
Nashville Predators,242.63,2006,0
Nashville Predators,225.52,2007,0
Nashville Predators,273.38,2008,0
Nashville Predators,288.67,2010,0
Nashville Predators,288.67,2011,0
Nashville Predators,320.23,2013,0
Nashville Predators,343.14,2014,0
New Jersey Devils,309.68,2002,0
New Jersey Devils,309.68,2003,0
New Jersey Devils,327.66,2006,0
New Jersey Devils,365.67,2007,0
New Jersey Devils,339.6,2008,0
New Jersey Devils,302.83,2010,0
New Jersey Devils,281.95,2011,0
New Jersey Devils,313.85,2013,0
New Jersey Devils,313.85,2014,0
New York Islanders,234.76,2002,1
New York Islanders,293.57,2003,1
New York Islanders,255.77,2006,1
New York Islanders,281.46,2007,1
New York Islanders,287.86,2008,1
New York Islanders,326.26,2010,1
New York Islanders,288.74,2011,1
New York Islanders,381,2013,1
New York Islanders,299.59,2014,1
New York Rangers,279.83,2002,1
New York Rangers,279.83,2003,1
New York Rangers,284.83,2006,1
New York Rangers,302.83,2007,1
New York Rangers,348.84,2008,1
New York Rangers,364.49,2010,1
New York Rangers,393.8,2011,1
New York Rangers,443.06,2013,1
New York Rangers,479.48,2014,1
Ottawa Senators,204.41,2002,1
Ottawa Senators,274.25,2003,1
Ottawa Senators,266.93,2006,1
Ottawa Senators,306.63,2007,1
Ottawa Senators,276.09,2008,1
Ottawa Senators,328.92,2010,1
Ottawa Senators,314.06,2011,1
Ottawa Senators,259.92,2013,1
Ottawa Senators,296.19,2014,1
Philadelphia Flyers,310.72,2002,0
Philadelphia Flyers,318.22,2003,0
Philadelphia Flyers,314.15,2006,0
Philadelphia Flyers,313.38,2007,0
Philadelphia Flyers,322.8,2008,0
Philadelphia Flyers,329.59,2010,0
Philadelphia Flyers,364.56,2011,0
Philadelphia Flyers,367.49,2013,0
Philadelphia Flyers,386.11,2014,0
Pittsburgh Penguins,259.21,2002,0
Pittsburgh Penguins,255.1,2003,0
Pittsburgh Penguins,216.96,2006,0
Pittsburgh Penguins,257.74,2007,0
Pittsburgh Penguins,276.3,2008,0
Pittsburgh Penguins,326.14,2010,0
Pittsburgh Penguins,335.25,2011,0
Pittsburgh Penguins,378.07,2013,0
Pittsburgh Penguins,390.84,2014,0
San Jose Sharks,243.59,2002,0
San Jose Sharks,252.57,2003,0
San Jose Sharks,219,2006,0
San Jose Sharks,243.92,2007,0
San Jose Sharks,269.78,2008,0
San Jose Sharks,288.33,2010,0
San Jose Sharks,304.42,2011,0
San Jose Sharks,340.32,2013,0
San Jose Sharks,344.42,2014,0
St. Louis Blues,248.2,2002,0
St. Louis Blues,248.6,2003,0
St. Louis Blues,197.39,2006,0
St. Louis Blues,175.41,2007,0
St. Louis Blues,193.26,2008,0
St. Louis Blues,245.28,2010,0
St. Louis Blues,249.27,2011,0
St. Louis Blues,308.55,2013,0
St. Louis Blues,327.32,2014,0
Tampa Bay Lightning,183.71,2002,0
Tampa Bay Lightning,214,2003,0
Tampa Bay Lightning,265.09,2006,0
Tampa Bay Lightning,262.75,2007,0
Tampa Bay Lightning,250.64,2008,0
Tampa Bay Lightning,226.93,2010,0
Tampa Bay Lightning,228.93,2011,0
Tampa Bay Lightning,267.92,2013,0
Tampa Bay Lightning,281.02,2014,0
Toronto Maple Leafs,263.28,2002,1
Toronto Maple Leafs,308.79,2003,1
Toronto Maple Leafs,271.07,2006,1
Toronto Maple Leafs,476.02,2007,1
Toronto Maple Leafs,411.3,2008,1
Toronto Maple Leafs,572.32,2010,1
Toronto Maple Leafs,626.45,2011,1
Toronto Maple Leafs,615.62,2013,1
Toronto Maple Leafs,572.58,2014,1
Vancouver Canucks,211.89,2002,1
Vancouver Canucks,259.1,2003,1
Vancouver Canucks,325,2006,1
Vancouver Canucks,384.78,2007,1
Vancouver Canucks,334.43,2008,1
Vancouver Canucks,357.02,2010,1
Vancouver Canucks,371.94,2011,1
Vancouver Canucks,479.53,2013,1
Vancouver Canucks,456.35,2014,1
Washington Capitals,244.95,2002,0
Washington Capitals,264.4,2003,0
Washington Capitals,230.61,2006,0
Washington Capitals,231.9,2007,0
Washington Capitals,244.64,2008,0
Washington Capitals,327.29,2010,0
Washington Capitals,354.67,2011,0
Washington Capitals,393.48,2013,0
Washington Capitals,411.94,2014,0
Winnipeg Jets,NA,2002,1
Winnipeg Jets,NA,2003,1
Winnipeg Jets,NA,2006,1
Winnipeg Jets,NA,2007,1
Winnipeg Jets,NA,2008,1
Winnipeg Jets,NA,2010,1
Winnipeg Jets,485.52,2011,1
Winnipeg Jets,419.04,2013,1
Winnipeg Jets,413.04,2014,1
